band,channel,index,macaddr,mode,radio_name,radio_type,spatial_stream,status,tx_power,utilization,ap_ap_deployment_mode,ap_client_count,ap_firmware_version,ap_group_name,ap_ip_address,ap_macaddr,ap_model,ap_name,ap_public_ip_address,ap_last_modified
1,112,0,RADIO_31814ada5fa1,0,Radio 5 GHz,802.11ac,4x4:4,Up,17.0,3.0,IAP,4,10.6.0.3_90581,Bellaterra,IP_4a767db8d4a7,AP_ea4f8dd0b2e0,314,AP-VET71,158.109.XXX.XXX,1747356419
0,11,1,RADIO_d9a7063d6a26,0,Radio 2.4 GHz,802.11n,2x2:2,Up,11.0,16.0,IAP,4,10.6.0.3_90581,Bellaterra,IP_4a767db8d4a7,AP_ea4f8dd0b2e0,314,AP-VET71,158.109.XXX.XXX,1747356419
1,104,0,RADIO_b28c988f07ff,0,Radio 5 GHz,802.11ac,4x4:4,Down,21.0,4.0,IAP,0,10.6.0.3_90581,Bellaterra,IP_8db286a90e1b,AP_e5c7d5048a2f,314,AP-EXTBIBHUM01,158.109.XXX.XXX,1748941086
0,11,1,RADIO_d0d9d8fb69ef,0,Radio 2.4 GHz,802.11n,2x2:2,Down,12.0,38.0,IAP,0,10.6.0.3_90581,Bellaterra,IP_8db286a90e1b,AP_e5c7d5048a2f,314,AP-EXTBIBHUM01,158.109.XXX.XXX,1748941086
1,120,0,RADIO_0578e0787047,0,Radio 5 GHz,802.11ac,4x4:4,Up,18.0,2.0,IAP,1,10.6.0.3_90581,Bellaterra,IP_031fd5eae42c,AP_bb7eae2933c9,315,AP-LLET32,158.109.XXX.XXX,1748926683
0,1,1,RADIO_3425552cfcc6,0,Radio 2.4 GHz,802.11n,2x2:2,Up,11.0,18.0,IAP,1,10.6.0.3_90581,Bellaterra,IP_031fd5eae42c,AP_bb7eae2933c9,315,AP-LLET32,158.109.XXX.XXX,1748926683
1,104,0,RADIO_a71380ca5c8f,0,Radio 5 GHz,802.11ac,4x4:4,Up,15.0,1.0,IAP,0,10.6.0.3_90581,Bellaterra,IP_ff4d85d0de48,AP_b1da6b0a4503,315,AP-GTIP12,158.109.XXX.XXX,1749531363
0,1,1,RADIO_5045db28c9e8,0,Radio 2.4 GHz,802.11n,2x2:2,Up,9.0,21.0,IAP,0,10.6.0.3_90581,Bellaterra,IP_ff4d85d0de48,AP_b1da6b0a4503,315,AP-GTIP12,158.109.XXX.XXX,1749531363
1,36,0,RADIO_b43e70201227,0,Radio 5 GHz,802.11ac,4x4:4,Up,16.0,3.0,IAP,4,10.6.0.3_90581,Bellaterra,IP_68b98484e503,AP_15316f125c98,315,AP-DRET14,158.109.XXX.XXX,1749185709
0,6,1,RADIO_a8b40e13fb08,0,Radio 2.4 GHz,802.11n,2x2:2,Up,11.0,42.0,IAP,4,10.6.0.3_90581,Bellaterra,IP_68b98484e503,AP_15316f125c98,315,AP-DRET14,158.109.XXX.XXX,1749185709
1,120,0,RADIO_c0ca02a85ffa,0,Radio 5 GHz,802.11ac,4x4:4,Up,16.0,7.0,IAP,5,10.6.0.3_90581,Bellaterra,IP_46371e5c5087,AP_36a986890586,315,AP-HEMER12,158.109.XXX.XXX,1749704188
0,11,1,RADIO_87722a36e136,0,Radio 2.4 GHz,802.11n,2x2:2,Up,11.0,27.0,IAP,5,10.6.0.3_90581,Bellaterra,IP_46371e5c5087,AP_36a986890586,315,AP-HEMER12,158.109.XXX.XXX,1749704188
1,108,0,RADIO_4950d59b9480,0,Radio 5 GHz,802.11ac,4x4:4,Up,15.0,2.0,IAP,1,10.6.0.3_90581,Bellaterra,IP_1946c85754fb,AP_df28264137aa,315,AP-AULAJ27,158.109.XXX.XXX,1748078681
0,1,1,RADIO_907a83ef563e,0,Radio 2.4 GHz,802.11n,2x2:2,Up,10.0,23.0,IAP,1,10.6.0.3_90581,Bellaterra,IP_1946c85754fb,AP_df28264137aa,315,AP-AULAJ27,158.109.XXX.XXX,1748078681
1,136,0,RADIO_82fac648d540,0,Radio 5 GHz,802.11ac,4x4:4,Up,16.0,3.0,IAP,8,10.6.0.3_90581,Bellaterra,IP_22be67c0e681,AP_56e3bdb27017,315,AP-CEDU04,158.109.XXX.XXX,1749706944
0,11,1,RADIO_b0c25fec3ca2,0,Radio 2.4 GHz,802.11n,2x2:2,Up,12.0,23.0,IAP,8,10.6.0.3_90581,Bellaterra,IP_22be67c0e681,AP_56e3bdb27017,315,AP-CEDU04,158.109.XXX.XXX,1749706944
1,136,0,RADIO_14fe9ff7d358,0,Radio 5 GHz,802.11ac,4x4:4,Up,16.0,3.0,IAP,5,10.6.0.3_90581,Bellaterra,IP_159a4bfdec14,AP_12592e968f7f,315,AP-ECON24,158.109.XXX.XXX,1749014938
0,11,1,RADIO_ad298aa65a7c,0,Radio 2.4 GHz,802.11n,2x2:2,Up,10.0,26.0,IAP,5,10.6.0.3_90581,Bellaterra,IP_159a4bfdec14,AP_12592e968f7f,315,AP-ECON24,158.109.XXX.XXX,1749014938
1,112,0,RADIO_b9a30390ca9e,0,Radio 5 GHz,802.11ac,4x4:4,Up,15.0,1.0,IAP,0,10.6.0.3_90581,Bellaterra,IP_2e6ff6f63c6e,AP_fdb68ec841bf,315,AP-VET14,158.109.XXX.XXX,1747356297
0,11,1,RADIO_0bdf4731beb6,0,Radio 2.4 GHz,802.11n,2x2:2,Up,11.0,14.0,IAP,0,10.6.0.3_90581,Bellaterra,IP_2e6ff6f63c6e,AP_fdb68ec841bf,315,AP-VET14,158.109.XXX.XXX,1747356297
1,120,0,RADIO_67ff07fff937,0,Radio 5 GHz,802.11ac,4x4:4,Up,15.0,2.0,IAP,6,10.6.0.3_90581,Bellaterra,IP_6ce9c8e4e489,AP_c994446b4400,315,AP-CIEN87,158.109.XXX.XXX,1747101851
0,6,1,RADIO_640ae1b4786e,0,Radio 2.4 GHz,802.11n,2x2:2,Up,8.0,27.0,IAP,6,10.6.0.3_90581,Bellaterra,IP_6ce9c8e4e489,AP_c994446b4400,315,AP-CIEN87,158.109.XXX.XXX,1747101851
1,60,0,RADIO_d834af8f048a,0,Radio 5 GHz,802.11ac,4x4:4,Up,15.0,11.0,IAP,6,10.6.0.3_90581,Bellaterra,IP_d4c50692eeda,AP_0a8d96c5e39f,315,AP-LLET102,158.109.XXX.XXX,1748926685
0,6,1,RADIO_730cbfc4ae82,0,Radio 2.4 GHz,802.11n,2x2:2,Up,10.0,38.0,IAP,6,10.6.0.3_90581,Bellaterra,IP_d4c50692eeda,AP_0a8d96c5e39f,315,AP-LLET102,158.109.XXX.XXX,1748926685
1,132,0,RADIO_b9dcb1925ac8,0,Radio 5 GHz,802.11ac,4x4:4,Up,15.0,2.0,IAP,3,10.6.0.3_90581,Bellaterra,IP_a9e4a202642f,AP_34b2db03397d,315,AP-MED04,158.109.XXX.XXX,1747356297
0,6,1,RADIO_0db8eb33f65c,0,Radio 2.4 GHz,802.11n,2x2:2,Up,12.0,12.0,IAP,3,10.6.0.3_90581,Bellaterra,IP_a9e4a202642f,AP_34b2db03397d,315,AP-MED04,158.109.XXX.XXX,1747356297
1,40,0,RADIO_38a12fa1b00f,0,Radio 5 GHz,802.11ac,4x4:4,Up,18.0,2.0,IAP,4,10.6.0.3_90581,Bellaterra,IP_9814d8e204f8,AP_7c80a698146d,315,AP-LLET99,158.109.XXX.XXX,1748926684
0,1,1,RADIO_651a8aa94939,0,Radio 2.4 GHz,802.11n,2x2:2,Up,12.0,22.0,IAP,4,10.6.0.3_90581,Bellaterra,IP_9814d8e204f8,AP_7c80a698146d,315,AP-LLET99,158.109.XXX.XXX,1748926684
1,40,0,RADIO_f474bb23bded,0,Radio 5 GHz,802.11ac,4x4:4,Up,16.0,2.0,IAP,5,10.6.0.3_90581,Bellaterra,IP_49cfc9d10f6b,AP_cab8ab6aef92,315,AP-CIEN82,158.109.XXX.XXX,1747356293
0,11,1,RADIO_6688a3d361d4,0,Radio 2.4 GHz,802.11n,2x2:2,Up,12.0,37.0,IAP,5,10.6.0.3_90581,Bellaterra,IP_49cfc9d10f6b,AP_cab8ab6aef92,315,AP-CIEN82,158.109.XXX.XXX,1747356293
1,36,0,RADIO_fe626c74d61c,0,Radio 5 GHz,802.11ac,4x4:4,Up,18.0,1.0,IAP,0,10.6.0.3_90581,Bellaterra,IP_1bab6a2384a1,AP_28223b178bd4,315,AP-GTIP13,158.109.XXX.XXX,1749531244
0,6,1,RADIO_e747abbddde9,0,Radio 2.4 GHz,802.11n,2x2:2,Up,12.0,23.0,IAP,0,10.6.0.3_90581,Bellaterra,IP_1bab6a2384a1,AP_28223b178bd4,315,AP-GTIP13,158.109.XXX.XXX,1749531244
1,56,0,RADIO_04b7ec0a81bf,0,Radio 5 GHz,802.11ac,4x4:4,Up,15.0,2.0,IAP,3,10.6.0.3_90581,Bellaterra,IP_9c0e9195e180,AP_46bbd42dfe86,315,AP-CCOM32,158.109.XXX.XXX,1748501859
0,1,1,RADIO_4a4cc1020812,0,Radio 2.4 GHz,802.11n,2x2:2,Up,10.0,30.0,IAP,3,10.6.0.3_90581,Bellaterra,IP_9c0e9195e180,AP_46bbd42dfe86,315,AP-CCOM32,158.109.XXX.XXX,1748501859
1,40,0,RADIO_9bd4449733fb,0,Radio 5 GHz,802.11ac,4x4:4,Up,18.0,1.0,IAP,0,10.6.0.3_90581,Bellaterra,IP_8d23c3fc361d,AP_a5a604951506,315,AP-GTIP14,158.109.XXX.XXX,1749531275
0,11,1,RADIO_0fae6fdb2d61,0,Radio 2.4 GHz,802.11n,2x2:2,Up,10.0,10.0,IAP,0,10.6.0.3_90581,Bellaterra,IP_8d23c3fc361d,AP_a5a604951506,315,AP-GTIP14,158.109.XXX.XXX,1749531275
1,112,0,RADIO_daa8da8ab067,0,Radio 5 GHz,802.11ac,4x4:4,Up,16.0,9.0,IAP,4,10.6.0.3_90581,Bellaterra,IP_9518930c6e4d,AP_06058692e8a4,315,AP-LLET54,158.109.XXX.XXX,1748926696
0,6,1,RADIO_d084a73108ca,0,Radio 2.4 GHz,802.11n,2x2:2,Up,12.0,60.0,IAP,4,10.6.0.3_90581,Bellaterra,IP_9518930c6e4d,AP_06058692e8a4,315,AP-LLET54,158.109.XXX.XXX,1748926696
1,52,0,RADIO_45aa45ba9143,0,Radio 5 GHz,802.11ac,4x4:4,Up,17.0,2.0,IAP,6,10.6.0.3_90581,Bellaterra,IP_538dd2f505de,AP_7f4fd84b8a59,315,AP-IBB03,158.109.XXX.XXX,1748919686
0,11,1,RADIO_40ca3a9b6285,0,Radio 2.4 GHz,802.11n,2x2:2,Up,12.0,23.0,IAP,6,10.6.0.3_90581,Bellaterra,IP_538dd2f505de,AP_7f4fd84b8a59,315,AP-IBB03,158.109.XXX.XXX,1748919686
1,104,0,RADIO_3e8bc7440dca,0,Radio 5 GHz,802.11ac,4x4:4,Up,16.0,2.0,IAP,15,10.6.0.3_90581,Bellaterra,IP_d2cd45697111,AP_2112bbad738d,315,AP-MED05,158.109.XXX.XXX,1747062220
0,11,1,RADIO_c1ca452dc248,0,Radio 2.4 GHz,802.11n,2x2:2,Up,12.0,29.0,IAP,15,10.6.0.3_90581,Bellaterra,IP_d2cd45697111,AP_2112bbad738d,315,AP-MED05,158.109.XXX.XXX,1747062220
1,124,0,RADIO_0ae6ba15ff90,0,Radio 5 GHz,802.11ac,4x4:4,Up,15.0,4.0,IAP,8,10.6.0.3_90581,Bellaterra,IP_e17888db92dc,AP_1fc7a1d6b89b,315,AP-ECON23,158.109.XXX.XXX,1749014942
0,1,1,RADIO_d3ccdd44e6bc,0,Radio 2.4 GHz,802.11n,2x2:2,Up,11.0,40.0,IAP,8,10.6.0.3_90581,Bellaterra,IP_e17888db92dc,AP_1fc7a1d6b89b,315,AP-ECON23,158.109.XXX.XXX,1749014942
1,100,0,RADIO_a9bcc489354f,0,Radio 5 GHz,802.11ac,4x4:4,Up,15.0,4.0,IAP,12,10.6.0.3_90581,Bellaterra,IP_86b7a9fb24cd,AP_96fa7dec1620,315,AP-VET08,158.109.XXX.XXX,1747356299
0,1,1,RADIO_4fe23b64f888,0,Radio 2.4 GHz,802.11n,2x2:2,Up,11.0,18.0,IAP,12,10.6.0.3_90581,Bellaterra,IP_86b7a9fb24cd,AP_96fa7dec1620,315,AP-VET08,158.109.XXX.XXX,1747356299
1,140,0,RADIO_1084ae0190fb,0,Radio 5 GHz,802.11ac,4x4:4,Up,16.0,3.0,IAP,10,10.6.0.3_90581,Bellaterra,IP_d4475040a31c,AP_9b24f718bb98,315,AP-VET73,158.109.XXX.XXX,1747805479
0,11,1,RADIO_9941c98d4a03,0,Radio 2.4 GHz,802.11n,2x2:2,Up,12.0,22.0,IAP,10,10.6.0.3_90581,Bellaterra,IP_d4475040a31c,AP_9b24f718bb98,315,AP-VET73,158.109.XXX.XXX,1747805479
1,48,0,RADIO_19c9142c9ef0,0,Radio 5 GHz,802.11ac,4x4:4,Up,15.0,2.0,IAP,2,10.6.0.3_90581,Bellaterra,IP_a9b55549263b,AP_a7e099feab09,315,AP-FTI16,158.109.XXX.XXX,1747356325
0,11,1,RADIO_fa42e7cb68a9,0,Radio 2.4 GHz,802.11n,2x2:2,Up,11.0,36.0,IAP,2,10.6.0.3_90581,Bellaterra,IP_a9b55549263b,AP_a7e099feab09,315,AP-FTI16,158.109.XXX.XXX,1747356325
1,140,0,RADIO_e48de7da26aa,0,Radio 5 GHz,802.11ac,4x4:4,Up,17.0,2.0,IAP,2,10.6.0.3_90581,Bellaterra,IP_36dfc8e09ece,AP_4fed2bbefd63,315,AP-ESCDOC01,158.109.XXX.XXX,1748078830
0,1,1,RADIO_b11e03abb047,0,Radio 2.4 GHz,802.11n,2x2:2,Up,9.0,23.0,IAP,2,10.6.0.3_90581,Bellaterra,IP_36dfc8e09ece,AP_4fed2bbefd63,315,AP-ESCDOC01,158.109.XXX.XXX,1748078830
1,52,0,RADIO_9eaf769584e4,0,Radio 5 GHz,802.11ac,4x4:4,Up,15.0,2.0,IAP,2,10.6.0.3_90581,Bellaterra,IP_3496b1485901,AP_6d76fce1a561,315,AP-CCOM29,158.109.XXX.XXX,1749733703
0,6,1,RADIO_68628bcae816,0,Radio 2.4 GHz,802.11n,2x2:2,Up,10.0,25.0,IAP,2,10.6.0.3_90581,Bellaterra,IP_3496b1485901,AP_6d76fce1a561,315,AP-CCOM29,158.109.XXX.XXX,1749733703
1,136,0,RADIO_c38109bd1dc7,0,Radio 5 GHz,802.11ac,4x4:4,Up,15.0,2.0,IAP,4,10.6.0.3_90581,Bellaterra,IP_57a39efc7d52,AP_39b590845ccb,315,AP-ECON22,158.109.XXX.XXX,1748926646
0,6,1,RADIO_bf6fa9b4fde4,0,Radio 2.4 GHz,802.11n,2x2:2,Up,7.0,32.0,IAP,4,10.6.0.3_90581,Bellaterra,IP_57a39efc7d52,AP_39b590845ccb,315,AP-ECON22,158.109.XXX.XXX,1748926646
1,116,0,RADIO_1400b616dbfd,0,Radio 5 GHz,802.11ac,4x4:4,Up,15.0,2.0,IAP,3,10.6.0.3_90581,Bellaterra,IP_9c2b8b84fe77,AP_092636229bb2,315,AP-LLET45,158.109.XXX.XXX,1748926684
0,11,1,RADIO_3c058f3fd30b,0,Radio 2.4 GHz,802.11n,2x2:2,Up,12.0,20.0,IAP,3,10.6.0.3_90581,Bellaterra,IP_9c2b8b84fe77,AP_092636229bb2,315,AP-LLET45,158.109.XXX.XXX,1748926684
1,104,0,RADIO_db1f9015e44c,0,Radio 5 GHz,802.11ac,4x4:4,Up,17.0,3.0,IAP,18,10.6.0.3_90581,Bellaterra,IP_e9d7a255f100,AP_d0c7d781463c,315,AP-VET07,158.109.XXX.XXX,1747805512
0,1,1,RADIO_525bec1b92b3,0,Radio 2.4 GHz,802.11n,2x2:2,Up,12.0,23.0,IAP,18,10.6.0.3_90581,Bellaterra,IP_e9d7a255f100,AP_d0c7d781463c,315,AP-VET07,158.109.XXX.XXX,1747805512
1,64,0,RADIO_1a801d32d24b,0,Radio 5 GHz,802.11ac,4x4:4,Up,15.0,2.0,IAP,12,10.6.0.3_90581,Bellaterra,IP_57ebaaa565a7,AP_5710d2c2744d,315,AP-REC04,158.109.XXX.XXX,1747356295
0,1,1,RADIO_95e1a0e9a7fa,0,Radio 2.4 GHz,802.11n,2x2:2,Up,12.0,21.0,IAP,12,10.6.0.3_90581,Bellaterra,IP_57ebaaa565a7,AP_5710d2c2744d,315,AP-REC04,158.109.XXX.XXX,1747356295
1,124,0,RADIO_02e2d875f96c,0,Radio 5 GHz,802.11ac,4x4:4,Up,15.0,1.0,IAP,4,10.6.0.3_90581,Bellaterra,IP_552f41a90b54,AP_6792f3be0970,315,AP-LLET42,158.109.XXX.XXX,1748926693
0,1,1,RADIO_c9c797783d5d,0,Radio 2.4 GHz,802.11n,2x2:2,Up,11.0,20.0,IAP,4,10.6.0.3_90581,Bellaterra,IP_552f41a90b54,AP_6792f3be0970,315,AP-LLET42,158.109.XXX.XXX,1748926693
1,48,0,RADIO_48c328b00dd9,0,Radio 5 GHz,802.11ac,4x4:4,Up,15.0,2.0,IAP,7,10.6.0.3_90581,Bellaterra,IP_c37faac85515,AP_3d799f8c174f,315,AP-DRET12,158.109.XXX.XXX,1749185707
0,1,1,RADIO_bdd69fd7dfde,0,Radio 2.4 GHz,802.11n,2x2:2,Up,11.0,27.0,IAP,7,10.6.0.3_90581,Bellaterra,IP_c37faac85515,AP_3d799f8c174f,315,AP-DRET12,158.109.XXX.XXX,1749185707
1,64,0,RADIO_9bec23ae0c8d,0,Radio 5 GHz,802.11ac,4x4:4,Up,15.0,2.0,IAP,4,10.6.0.3_90581,Bellaterra,IP_d478bd59e310,AP_5d5067cacfcc,315,AP-MED24,158.109.XXX.XXX,1747356295
0,1,1,RADIO_7e7b680beb83,0,Radio 2.4 GHz,802.11n,2x2:2,Up,8.0,19.0,IAP,4,10.6.0.3_90581,Bellaterra,IP_d478bd59e310,AP_5d5067cacfcc,315,AP-MED24,158.109.XXX.XXX,1747356295
1,60,0,RADIO_c26ae41e5128,0,Radio 5 GHz,802.11ac,4x4:4,Up,15.0,3.0,IAP,9,10.6.0.3_90581,Bellaterra,IP_0579f25ef1c4,AP_1e9d93d1fa40,315,AP-CIVIC04,158.109.XXX.XXX,1748079548
0,1,1,RADIO_014ea98b9406,0,Radio 2.4 GHz,802.11n,2x2:2,Up,11.0,45.0,IAP,9,10.6.0.3_90581,Bellaterra,IP_0579f25ef1c4,AP_1e9d93d1fa40,315,AP-CIVIC04,158.109.XXX.XXX,1748079548
1,124,0,RADIO_25b2c8c9ace9,0,Radio 5 GHz,802.11ac,4x4:4,Up,16.0,1.0,IAP,1,10.6.0.3_90581,Bellaterra,IP_96ad402794d2,AP_82cd2792988f,315,AP-VET18,158.109.XXX.XXX,1747356473
0,11,1,RADIO_50d081b8e376,0,Radio 2.4 GHz,802.11n,2x2:2,Up,10.0,10.0,IAP,1,10.6.0.3_90581,Bellaterra,IP_96ad402794d2,AP_82cd2792988f,315,AP-VET18,158.109.XXX.XXX,1747356473
1,128,0,RADIO_6d67ec3c09ce,0,Radio 5 GHz,802.11ac,4x4:4,Up,16.0,3.0,IAP,7,10.6.0.3_90581,Bellaterra,IP_7eae8632996e,AP_04bfc16d206e,315,AP-CCOM28,158.109.XXX.XXX,1749733702
0,6,1,RADIO_892f43ac1318,0,Radio 2.4 GHz,802.11n,2x2:2,Up,11.0,24.0,IAP,7,10.6.0.3_90581,Bellaterra,IP_7eae8632996e,AP_04bfc16d206e,315,AP-CCOM28,158.109.XXX.XXX,1749733702
1,140,0,RADIO_76ae50c2d2a2,0,Radio 5 GHz,802.11ac,4x4:4,Up,16.0,2.0,IAP,6,10.6.0.3_90581,Bellaterra,IP_c368770b6903,AP_506829d85a56,315,AP-IBB01,158.109.XXX.XXX,1747715376
0,11,1,RADIO_2715019541e1,0,Radio 2.4 GHz,802.11n,2x2:2,Up,12.0,16.0,IAP,6,10.6.0.3_90581,Bellaterra,IP_c368770b6903,AP_506829d85a56,315,AP-IBB01,158.109.XXX.XXX,1747715376
